index,Tanggal,Tn,Tx,Tavg,RH_avg,ff_x,ddd_x,ff_avg,ddd_car,bulan,RH_avg_5day,RH1,RH2,RH3,ff_x1,ff_x2,ff_x3,RR_avg5_day,RR1,RR2,RR3,RR,index_float,RR_pred
0,01-01-2019,25.0,32.3,27.8,77.0,6.0,240.0,2.0,9,1,79.8,79.0,78.0,78.0,5.0,6.0,12.0,11.806,0.5,20.665,20.665,4.0,0.0,1.23192173093557
1,02-01-2019,25.036363636363603,31.6,28.1,78.0,5.0,240.0,2.0,7,1,78.8,78.0,78.0,77.0,6.0,12.0,6.0,10.245999999999999,20.665,20.665,4.0,0.4,1.0,1.23675846755505
2,03-01-2019,24.6,30.4,26.9,86.0,8.0,230.0,2.0,6,1,78.0,78.0,77.0,78.0,12.0,6.0,5.0,9.246,20.665,4.0,0.4,39.7,2.0,1.73248536139727
3,04-01-2019,25.036363636363603,31.8,28.4,76.0,4.0,200.0,1.0,9,1,79.4,77.0,78.0,86.0,6.0,5.0,8.0,17.086,4.0,0.4,39.7,16.8,3.0,2.17868409231305
4,05-01-2019,25.0,31.0,27.7,83.0,4.0,180.0,1.0,9,1,79.0,78.0,86.0,76.0,5.0,8.0,4.0,16.313,0.4,39.7,16.8,0.3,4.0,1.54448743611574
5,06-01-2019,24.8,31.6,27.9,82.0,4.0,130.0,1.0,9,1,80.0,86.0,76.0,83.0,8.0,4.0,4.0,12.24,39.7,16.8,0.3,16.8,5.0,2.78348075076938
6,07-01-2019,25.4,32.0,28.8,82.0,4.0,150.0,2.0,4,1,81.0,76.0,83.0,82.0,4.0,4.0,4.0,14.8,16.8,0.3,16.8,22.8,6.0,1.7719354018568998
7,08-01-2019,25.4,32.0,28.2,83.0,5.0,160.0,1.0,9,1,81.8,83.0,82.0,82.0,4.0,4.0,4.0,19.28,0.3,16.8,22.8,3.5,7.0,2.17379721328616
8,09-01-2019,25.036363636363603,32.3,27.6,83.0,3.0,130.0,1.0,9,1,81.2,82.0,82.0,83.0,4.0,4.0,5.0,12.04,16.8,22.8,3.5,5.7,8.0,3.2224604792892904
9,10-01-2019,24.8,32.4,28.3,82.0,4.0,180.0,1.0,9,1,82.6,82.0,83.0,83.0,4.0,5.0,3.0,9.82,22.8,3.5,5.7,1.6,9.0,2.05508556514978
10,11-01-2019,25.2,32.068965517241395,28.4,81.0,3.0,210.0,1.0,9,1,82.4,83.0,83.0,82.0,5.0,3.0,4.0,10.08,3.5,5.7,1.6,16.8,10.0,1.89242509976029
11,12-01-2019,25.6,32.2,28.6,84.0,4.0,190.0,1.0,9,1,82.2,83.0,82.0,81.0,3.0,4.0,3.0,10.08,5.7,1.6,16.8,16.8,11.0,1.9993282109498998
12,13-01-2019,26.4,31.0,28.6,84.0,5.0,190.0,1.0,9,1,82.6,82.0,81.0,84.0,4.0,3.0,4.0,8.88,1.6,16.8,16.8,16.8,12.0,1.3865879923105202
13,14-01-2019,24.6,32.4,27.7,84.0,4.0,210.0,1.0,9,1,82.8,81.0,84.0,84.0,3.0,4.0,5.0,11.54,16.8,16.8,16.8,0.0,13.0,5.08697631508112
14,15-01-2019,24.8,32.8,28.8,80.0,6.0,250.0,3.0,7,1,83.0,84.0,84.0,84.0,4.0,5.0,4.0,10.4,16.8,16.8,0.0,16.8,14.0,1.3684875860810302
15,16-01-2019,25.0,29.8,26.9,88.0,6.0,270.0,2.0,9,1,82.6,84.0,84.0,80.0,5.0,4.0,6.0,13.44,16.8,0.0,16.8,35.5,15.0,2.9246978156268595
16,17-01-2019,23.9,31.4,26.0,93.0,6.0,240.0,2.0,6,1,84.0,84.0,80.0,88.0,4.0,6.0,6.0,17.18,0.0,16.8,35.5,134.6,16.0,74.27411891221999
17,18-01-2019,24.6,31.8,27.2,84.0,4.0,240.0,1.0,9,1,85.8,80.0,88.0,93.0,6.0,6.0,6.0,40.74,16.8,35.5,134.6,5.8,17.0,11.1180639624596
18,19-01-2019,24.9,32.2,27.7,84.0,4.0,240.0,1.0,9,1,85.8,88.0,93.0,84.0,6.0,6.0,4.0,38.54,35.5,134.6,5.8,16.8,18.0,3.45396245867014
19,20-01-2019,25.4,32.2,27.9,85.0,3.0,190.0,1.0,9,1,85.8,93.0,84.0,84.0,6.0,4.0,4.0,41.9,134.6,5.8,16.8,16.8,19.0,5.48729674890637
20,21-01-2019,25.4,30.8,27.1,90.0,10.0,230.0,1.0,9,1,86.8,84.0,84.0,85.0,4.0,4.0,3.0,41.9,5.8,16.8,16.8,4.3,20.0,2.96410724073648
21,22-01-2019,25.036363636363603,31.6,26.8,86.0,7.0,230.0,2.0,9,1,87.2,84.0,85.0,90.0,4.0,3.0,10.0,35.66,16.8,16.8,4.3,16.8,21.0,7.10244887694716
22,23-01-2019,24.2,32.8,27.1,83.0,4.0,280.0,1.0,7,1,85.8,85.0,90.0,86.0,3.0,10.0,7.0,12.1,16.8,4.3,16.8,24.5,22.0,2.52627126052976
23,24-01-2019,25.036363636363603,32.8,27.5,85.0,5.0,240.0,2.0,9,1,85.6,90.0,86.0,83.0,10.0,7.0,4.0,15.84,4.3,16.8,24.5,16.8,23.0,1.66183170080185
24,25-01-2019,25.036363636363603,32.2,26.8,88.0,4.0,240.0,1.0,9,1,85.8,86.0,83.0,85.0,7.0,4.0,5.0,15.84,16.8,24.5,16.8,0.4,24.0,5.9344471827149405
25,26-01-2019,25.0,33.0,28.4,78.0,4.0,230.0,1.0,9,1,86.4,83.0,85.0,88.0,4.0,5.0,4.0,12.56,24.5,16.8,0.4,16.8,25.0,1.8052329689264301
26,27-01-2019,25.8,33.4,28.6,80.0,5.0,250.0,1.0,9,1,84.0,85.0,88.0,78.0,5.0,4.0,4.0,15.06,16.8,0.4,16.8,0.1,26.0,1.71830408573151
27,28-01-2019,25.036363636363603,32.068965517241395,28.8,76.0,4.0,300.0,1.0,9,1,82.8,88.0,78.0,80.0,4.0,4.0,5.0,11.72,0.4,16.8,0.1,16.8,27.0,1.90821945667267
28,29-01-2019,25.036363636363603,34.6,29.3,74.0,3.0,330.0,1.0,9,1,81.4,78.0,80.0,76.0,4.0,5.0,4.0,10.18,16.8,0.1,16.8,16.8,28.0,2.20770852342248
29,30-01-2019,25.036363636363603,32.6,27.8,83.0,5.0,250.0,1.0,9,1,79.2,80.0,76.0,74.0,5.0,4.0,3.0,10.18,0.1,16.8,16.8,16.8,29.0,2.23517452850938
30,31-01-2019,25.0,33.0,28.5,80.0,6.0,260.0,1.0,9,1,78.2,76.0,74.0,83.0,4.0,3.0,5.0,13.46,16.8,16.8,16.8,2.4,30.0,3.39410546123981
31,01-02-2019,24.733333333333302,32.3,27.5,82.0,4.0,250.0,1.0,9,2,78.6,74.0,83.0,80.0,3.0,5.0,6.0,10.58,16.8,16.8,2.4,17.23,31.0,3.86911100521684
32,02-02-2019,24.2,32.6,28.0,82.0,5.0,220.0,1.0,9,2,79.0,83.0,80.0,82.0,5.0,6.0,4.0,14.005999999999998,16.8,2.4,17.23,8.8,32.0,4.4730778068304105
33,03-02-2019,24.7,32.2,27.8,84.0,4.0,200.0,1.0,9,2,80.2,80.0,82.0,82.0,6.0,4.0,5.0,12.405999999999999,2.4,17.23,8.8,12.6,33.0,4.36943996921182
